Gene	alpha	beta	gamma	delta	epsilon	zeta	eta	theta	iota
CEP85L	3.61	1.59	2.51	1.95	2.34	3.38	3.09	0.83	2.36
CEP89	20.6	17.96	13.83	15.29	28.68	15.7	18.42	12.06	24.34
CEP95	68.59	70.07	34.25	74.44	44.82	73.76	37.52	16.14	30.19
CEP97	3.08	9.98	6.29	2.17	14.27	10.13	10.97	2.55	3.86
CEPT1	23.81	22.5	26.07	18.84	31.95	27.01	26.97	9.93	14.84
CER1	0.0	0.0	0.0	0.0	0.51	2.23	0.0	0.0	0.0
CERCAM	34.9	229.93	86.44	160.79	92.7	22.13	140.97	39.74	82.26
CERK	68.69	21.47	18.09	29.15	25.84	34.62	51.54	9.88	14.35
CERKL	7.79	6.4	2.88	0.92	24.97	6.18	3.97	3.54	2.57
CERS1	0.4	0.21	7.04	0.0	0.32	5.75	0.0	0.02	0.0
CERS2	120.79	176.77	213.28	163.51	409.06	165.32	131.25	226.2	152.33
CERS3	0.0	0.02	1.25	0.0	0.0	0.0	0.0	0.0	0.0
CERS3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CERS4	0.0	0.0	11.84	7.83	3.27	1.06	0.22	0.12	0.88
CERS5	44.61	25.22	32.51	59.81	23.3	42.31	22.18	12.92	9.94
CERS6	10.17	7.28	9.77	5.13	18.95	27.3	19.03	6.05	15.67
CERS6-AS1	8.32	0.55	3.46	7.05	0.12	3.3	2.12	1.18	5.76
CES1	0.16	2.37	31.17	0.14	0.27	0.0	11.31	0.34	0.0
CES1P1	0.0	0.14	0.68	0.03	0.03	0.02	0.0	0.0	0.0
CES1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CES2	20.59	22.96	23.38	22.34	12.98	16.99	20.44	12.01	10.8
CES3	1.36	0.37	0.38	0.43	0.3	0.95	0.07	0.77	0.03
CES4A	3.95	0.31	0.54	7.42	0.37	0.28	0.22	0.0	0.0
CES5A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CES5AP1	0.09	11.73	1.18	0.07	2.5	0.0	0.0	1.48	0.0
CETN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CETN2	16.19	26.97	27.66	30.33	27.16	28.75	66.32	24.12	12.22
CETN3	32.02	10.14	17.96	15.05	31.59	44.23	40.88	26.57	67.42
CETN4P	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
CETP	0.06	0.0	0.1	0.0	0.04	0.0	0.0	0.03	0.0
CFAP126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFAP20	64.14	74.45	60.96	32.32	30.98	82.53	79.07	11.97	49.92
CFAP221	0.06	0.0	1.03	0.0	1.49	0.29	0.0	0.07	0.06
CFAP36	85.33	14.96	45.78	26.1	41.09	44.51	30.45	11.95	14.84
CFAP43	0.71	0.07	0.66	0.0	0.29	0.47	0.61	0.0	0.0
CFAP44	6.38	14.23	1.7	7.43	4.38	7.78	18.83	1.33	4.63
CFAP44-AS1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFAP45	5.39	1.72	1.14	2.35	2.1	0.58	1.56	0.86	0.53
CFAP46	0.01	0.0	0.41	0.0	0.06	0.49	0.0	0.06	0.0
CFAP47	0.0	0.35	0.07	0.0	0.0	0.0	1.47	0.0	0.21
CFAP52	0.37	0.13	0.0	0.0	0.0	0.42	0.0	0.0	0.0
CFAP53	0.03	0.84	0.65	0.0	0.24	0.29	0.36	0.01	0.2
CFAP54	1.37	0.46	0.17	0.38	0.73	0.73	0.45	0.22	0.0
CFAP57	0.03	0.12	0.68	0.0	0.06	0.11	0.2	0.32	0.1
CFAP58	1.04	0.09	0.06	0.0	0.47	0.57	0.28	0.0	0.0
CFAP58-AS1	0.07	0.73	0.28	0.0	0.36	0.64	3.14	0.0	0.0
CFAP61	0.95	0.13	0.59	0.06	0.02	0.11	0.2	1.42	0.0
CFAP69	2.3	1.31	4.05	2.56	0.55	2.6	0.64	1.47	0.44
CFAP70	0.9	0.56	0.49	0.21	0.15	0.3	0.31	0.13	0.72
CFAP74	0.0	1.63	1.0	0.0	0.8	0.04	0.0	0.0	0.49
CFAP97	8.96	10.48	15.53	6.01	18.8	19.62	12.97	10.15	29.1
CFAP99	0.22	0.1	0.14	0.0	0.0	0.18	0.0	0.0	0.0
CFB	7.65	4.23	2.36	1.74	2.77	5.31	5.18	2.02	0.8
CFC1	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0
CFC1B	0.0	0.0	0.0	0.0	0.0	1.49	0.0	0.0	0.0
CFD	3.87	0.44	2.44	0.57	0.49	0.43	0.35	0.85	5.71
CFDP1	40.0	51.22	39.71	50.47	25.39	84.23	151.4	37.83	54.65
CFH	52.93	25.84	19.23	40.54	23.83	46.61	133.14	12.48	0.1
CFHR1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.0
CFHR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFHR3	0.0	0.06	0.03	0.0	0.0	0.0	0.59	0.14	0.0
CFHR4	0.0	0.09	0.0	0.0	0.0	0.0	0.14	0.0	0.0
CFHR5	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0
CFI	0.02	0.24	29.56	1.82	6.31	67.23	0.52	0.12	0.0
CFL1	761.21	1074.46	1414.02	960.79	1663.64	2765.15	673.7	252.91	373.87
CFL1P1	0.84	0.0	2.53	0.66	0.45	1.36	1.24	0.36	0.94
CFL1P2	0.0	0.09	0.0	0.0	0.11	0.0	0.0	0.0	0.0
CFL1P3	0.28	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0
CFL1P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFL1P5	0.54	1.14	1.77	0.0	1.58	0.4	0.0	0.12	0.51
CFL1P6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFL1P7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0
CFL1P8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFL2	91.35	35.71	158.49	26.48	204.31	46.41	80.93	41.94	41.48
CFLAR	12.85	10.07	13.17	22.39	26.56	96.18	23.53	9.22	9.04
CFLAR-AS1	0.31	0.05	0.0	0.2	0.59	2.78	0.0	0.0	0.07
CFP	1.89	1.34	1.08	2.1	1.04	1.89	0.03	0.02	0.03
CFTR	1.69	0.78	0.0	0.0	0.0	0.19	0.0	0.01	0.0
CFTRP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFTRP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGA	0.0	0.0	0.08	0.0	0.0	1.54	0.0	0.0	0.0
CGB	0.0	0.0	0.92	10.07	0.36	0.0	0.0	0.0	0.0
CGB1	0.0	0.0	0.13	0.0	0.04	0.0	0.0	0.0	0.0
CGB2	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0
CGB5	0.09	0.0	0.0	8.12	2.48	0.0	0.0	0.0	0.0
CGB7	0.28	0.0	1.97	0.0	1.75	0.36	0.0	0.11	0.75
CGB8	0.0	0.0	0.0	1.53	2.76	0.0	0.0	0.0	0.0
CGGBP1	59.75	35.25	61.48	20.45	46.13	73.08	57.21	66.8	42.17
CGN	0.06	0.05	8.54	0.0	3.84	0.9	0.18	5.46	3.27
CGNL1	10.08	6.57	0.86	21.74	3.01	3.0	8.13	1.25	1.78
CGREF1	12.54	7.61	124.99	0.29	6.88	4.04	10.83	17.41	86.88
CGRRF1	10.69	10.58	21.79	14.05	13.19	17.02	16.31	2.27	1.72
CH17-118O6.3	0.63	0.0	0.0	0.0	3.44	0.23	0.0	0.0	0.47
CH17-118O6.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-125A10.1	0.18	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0
CH17-125A10.2	3.87	0.0	0.0	0.0	17.78	0.66	0.59	0.0	0.0
CH17-128G5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-12M21.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-132F21.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-132F21.5	0.03	0.03	0.0	0.3	0.44	0.0	0.12	0.0	0.0
CH17-13I23.1	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
CH17-13I23.2	0.13	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0
CH17-13I23.3	1.73	1.49	10.84	22.67	11.13	5.54	0.0	0.59	0.0
CH17-140K24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-140K24.2	0.18	0.0	3.8	0.0	3.02	2.11	0.0	0.05	0.0
CH17-140K24.3	0.0	0.29	0.63	0.0	0.0	0.0	1.0	0.0	0.0
CH17-140K24.4	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0
CH17-140K24.5	0.66	1.75	1.34	0.79	3.9	3.54	0.0	0.0	1.06
CH17-140K24.6	0.19	0.2	0.3	0.0	2.39	5.16	0.0	0.0	0.0
CH17-140K24.7	0.0	0.0	0.0	0.0	4.31	1.01	0.0	0.0	0.0
CH17-140K24.8	0.0	0.0	0.0	0.0	0.43	1.78	0.0	0.0	0.0
CH17-164J11.1	0.0	0.0	0.08	0.06	0.0	0.0	0.0	0.0	0.0
CH17-174L20.1	0.29	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0
CH17-189H20.1	10.03	5.72	3.99	11.06	4.96	18.64	11.05	6.57	1.81
CH17-212P11.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-212P11.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-212P11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-219N22.1	0.0	28.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-224D4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-224D4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-232I21.1	0.0	2.79	5.6	122.67	0.0	17.93	0.0	62.76	0.0
CH17-248H7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-248H7.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-258A22.4	0.0	0.0	0.0	0.0	4.26	3.57	0.0	0.0	0.0
CH17-260O16.1	0.0	0.49	0.0	0.0	0.0	0.56	0.0	0.0	2.16
CH17-262A2.1	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0
CH17-262H11.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-262O2.1	0.0	0.34	0.05	0.0	0.1	0.0	0.0	0.0	0.0
CH17-262O2.2	0.42	0.0	0.0	0.0	0.58	1.24	0.0	0.0	0.0
CH17-264B6.3	0.98	4.41	3.39	0.0	0.0	0.0	0.0	0.0	3.0
CH17-264B6.4	3.49	0.0	0.0	0.0	0.36	0.84	0.0	0.0	0.0
CH17-264L24.1	1.15	0.82	0.27	1.09	0.74	1.06	1.28	0.31	0.3
CH17-270A2.1	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-270A2.2	0.11	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0
CH17-302M23.1	0.18	0.21	0.21	0.0	0.22	0.07	0.34	0.08	0.01
CH17-31A6.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-333M13.1	0.0	0.0	0.02	0.0	0.18	0.05	0.0	0.0	0.0
CH17-333M13.2	0.0	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.0
CH17-335B8.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-340M24.3	1.98	2.22	1.78	1.07	1.78	3.83	3.12	0.53	1.7
CH17-351M24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-353B19.1	0.38	3.01	3.57	0.83	5.91	0.15	0.92	1.03	0.04
CH17-360D5.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
CH17-360D5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-360D5.3	0.0	0.0	0.0	0.0	0.17	0.27	0.0	0.0	0.0
CH17-373J23.1	4.3	3.6	1.34	0.0	7.69	21.82	2.68	0.94	2.07
CH17-385C13.2	0.0	0.0	2.35	0.0	5.87	0.0	0.0	0.23	1.06
CH17-38B12.4	0.0	0.06	0.04	0.0	0.07	0.0	0.47	0.0	0.0
CH17-408M7.1	0.0	1.72	0.15	1.63	2.0	1.05	0.0	0.0	0.23
CH17-409J4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-431G21.1	10.18	5.87	1.98	9.47	1.5	12.04	1.67	3.77	2.32
CH17-437K3.1	0.34	0.57	1.43	0.88	3.81	1.49	1.54	0.09	2.19
CH17-472G23.1	1.56	3.61	3.06	0.47	1.6	0.1	1.84	0.92	1.01
CH17-472G23.2	43.69	24.5	16.11	35.11	15.12	27.74	61.66	44.62	7.64
CH17-472G23.4	6.9	13.19	4.66	7.46	3.25	3.17	17.81	1.14	2.83
CH17-478G19.2	3.29	0.34	5.22	0.0	0.0	1.02	0.0	0.0	1.41
CH17-53B9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-53B9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-76K2.6	0.0	0.0	0.0	0.0	0.02	0.2	0.0	0.06	0.0
CH17-78J1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH17-80A12.1	0.0	0.1	0.0	0.0	0.06	0.0	0.0	0.0	0.0
CH25H	19.39	9.62	0.21	5.23	4.81	1.78	1.54	0.01	0.0
CH507-145C22.1	2.24	2.98	1.0	4.69	4.43	3.08	2.27	4.26	2.41
CH507-145C22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-145C22.3	0.05	0.66	1.17	0.0	2.41	0.31	0.6	0.0	0.2
CH507-145C22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-152C13.1	56.92	96.09	148.3	178.58	235.2	119.19	65.44	62.09	25.49
CH507-152C13.3	0.16	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
CH507-152C13.4	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0
CH507-152C13.5	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-152C13.6	0.0	0.0	0.04	0.0	0.0	0.05	0.0	0.0	0.0
CH507-154B10.1	2.51	1.4	0.6	1.03	1.88	0.93	6.31	0.38	0.11
CH507-154B10.2	1.26	8.98	4.9	5.4	9.39	6.29	7.6	6.47	3.59
CH507-154B10.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-210P18.1	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.11
CH507-210P18.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
CH507-210P18.4	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-210P18.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-216K13.1	0.0	0.0	0.17	1.23	0.0	0.0	0.0	0.0	0.0
CH507-216K13.2	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
CH507-236L23.1	0.11	0.22	0.0	0.0	0.0	0.0	0.52	0.15	0.0
CH507-236L23.2	0.13	0.17	1.26	0.0	0.35	0.0	4.86	0.4	0.12
CH507-236L23.3	0.02	0.04	0.02	0.0	0.03	0.0	0.01	0.02	0.1
CH507-236L23.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-236L23.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-24F1.1	0.32	1.06	3.35	0.0	2.67	0.95	1.5	1.04	0.2
CH507-24F1.2	10.71	1.47	5.79	16.7	0.98	2.8	20.47	11.81	4.22
CH507-254M2.1	1.65	3.5	6.54	21.19	1.16	2.8	24.99	14.52	4.94
CH507-254M2.2	10.61	3.58	3.21	6.25	7.19	6.34	8.92	4.77	7.76
CH507-254M2.3	1.42	3.75	0.89	1.77	1.54	1.6	2.58	1.45	0.8
CH507-254M2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-254M2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-254M2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-338C24.1	4.45	4.48	2.16	6.89	4.57	5.48	2.87	1.44	0.01
CH507-338C24.2	0.13	0.17	1.26	0.0	0.35	0.0	4.86	0.4	0.12
CH507-338C24.3	0.02	0.04	0.02	0.0	0.03	0.0	0.01	0.02	0.1
CH507-396I9.3	0.1	0.01	0.0	0.12	0.02	0.1	0.0	0.0	0.0
CH507-396I9.6	0.08	0.12	0.0	0.29	0.03	0.0	0.0	0.0	0.51
CH507-396I9.7	0.54	2.14	1.26	1.08	1.28	2.3	2.49	0.36	0.52
CH507-39O4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-39O4.2	0.0	0.0	1.44	0.0	0.59	0.0	0.0	0.93	0.0
CH507-39O4.3	0.02	0.04	0.02	0.0	0.03	0.0	0.01	0.02	0.1
CH507-42P11.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-42P11.2	0.0	0.0	0.0	24.86	2.57	2.08	0.0	0.0	0.0
CH507-42P11.3	0.04	0.0	0.0	0.48	0.0	0.15	0.08	0.03	0.0
CH507-42P11.5	0.13	0.0	0.0	0.29	0.24	0.0	0.0	0.0	0.0
CH507-42P11.6	0.0	0.05	0.15	0.35	0.0	0.03	0.0	0.0	0.0
CH507-42P11.7	0.0	0.0	0.11	0.32	0.08	0.14	0.0	0.0	0.0
CH507-42P11.8	55.29	25.52	39.8	41.29	25.73	62.38	7.78	6.64	2.6
CH507-513H4.1	0.4	1.17	4.48	0.0	6.63	0.67	1.25	2.52	0.24
CH507-513H4.3	530.2	271.63	106.73	248.78	210.47	490.61	241.7	246.52	200.45
CH507-513H4.4	530.2	271.63	106.73	248.78	210.47	490.61	241.7	246.52	200.45
CH507-513H4.5	0.0	0.0	0.0	0.36	0.0	0.41	0.0	0.0	0.0
CH507-513H4.6	530.2	271.63	106.73	248.78	210.47	490.61	241.7	246.52	200.45
CH507-528H12.1	0.4	1.17	4.48	0.0	6.63	0.67	1.25	2.52	0.24
CH507-9B2.2	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH507-9B2.3	11.92	44.32	53.51	46.15	44.84	28.62	18.6	8.32	11.41
CH507-9B2.4	0.0	0.0	0.0	8.56	3.08	0.0	0.0	0.0	0.0
CH507-9B2.5	13.92	15.12	17.22	7.48	22.32	9.58	11.62	8.96	4.72
CH507-9B2.8	0.29	0.0	0.45	0.0	0.0	1.0	1.06	0.0	0.0
CH507-9B2.9	2.24	1.13	3.24	3.52	7.4	9.47	1.03	0.69	0.98
CHAC1	9.03	2.57	1.82	10.99	2.03	1.63	2.73	2.3	0.9
CHAC2	5.27	3.33	12.83	0.84	8.96	2.8	2.56	10.49	9.24
CHAD	1.5	4.6	12.33	6.86	0.81	0.2	51.66	3.67	5.93
CHADL	0.17	8.04	0.82	0.0	0.42	0.3	0.58	0.2	0.0
CHAF1A	32.42	72.07	18.7	9.21	34.87	29.46	22.56	23.62	35.93
CHAF1B	7.55	14.98	34.93	13.21	38.63	9.18	12.57	8.49	6.7
CHAMP1	9.26	6.29	34.5	13.07	81.19	14.11	13.38	10.54	8.41
CHAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD1	10.4	7.41	24.37	15.42	29.48	31.32	10.88	8.43	14.54
CHCHD10	30.55	35.37	20.63	40.43	46.63	238.61	7.14	8.53	22.48
CHCHD2	596.31	289.62	273.04	164.94	580.7	543.31	182.82	283.57	380.91
CHCHD2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2P11	0.15	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
CHCHD2P2	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0
CHCHD2P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2P6	0.48	0.43	2.76	1.08	1.78	0.48	0.08	0.08	0.2
CHCHD2P7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2P8	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2P9	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
CHCHD3	72.13	89.78	89.07	123.51	138.7	78.53	33.93	55.38	71.63
CHCHD3P1	0.0	0.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0
CHCHD3P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD3P3	0.29	0.0	0.0	0.46	0.12	0.1	0.04	0.0	0.22
CHCHD4	10.39	7.81	8.4	7.05	26.13	13.39	10.29	10.6	8.23
CHCHD4P2	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD4P3	0.02	1.11	0.22	0.0	0.0	0.55	0.02	1.83	0.0
CHCHD4P4	0.0	0.0	0.0	0.0	0.15	0.27	0.0	0.0	0.0
CHCHD4P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD5	29.63	28.54	20.56	22.33	40.38	31.65	59.23	34.89	33.03
CHCHD6	6.57	20.09	17.56	15.82	10.34	23.82	15.18	8.69	15.43
CHCHD7	75.68	69.1	37.11	40.77	41.77	55.98	32.29	16.82	9.24
CHD1	60.13	58.85	83.3	14.47	38.14	73.27	31.29	20.94	29.45
CHD1L	41.79	42.14	70.85	33.56	77.17	26.83	27.21	23.53	18.65
CHD2	71.38	134.32	81.09	81.96	40.45	61.66	116.92	37.95	45.24
CHD3	175.3	184.28	92.32	39.13	58.79	99.49	84.22	25.69	38.74
CHD4	67.25	54.43	149.14	66.45	228.96	116.67	158.3	125.71	134.35
CHD5	0.08	0.04	0.55	0.05	6.16	53.4	1.24	0.01	0.0
CHD6	11.06	21.59	30.0	14.12	15.9	15.83	35.21	13.81	18.45
CHD7	3.62	23.06	17.4	27.64	11.93	16.73	10.27	18.54	8.03
CHD8	27.3	33.49	35.13	29.43	75.4	31.15	55.14	24.74	18.69
CHD9	28.17	26.39	13.49	16.68	16.76	32.06	40.25	4.79	10.23
CHDH	0.02	0.23	6.17	0.08	1.91	0.85	0.11	0.47	0.53
CHEK1	13.92	30.95	63.14	15.1	39.45	17.31	36.94	15.57	33.93
CHEK2	25.37	15.67	16.28	23.21	8.37	13.42	28.76	24.53	22.41
CHEK2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEK2P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEK2P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEK2P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHERP	53.23	35.4	25.6	10.25	24.87	33.64	21.47	24.22	17.1
CHFR	12.68	13.99	37.49	32.73	16.61	10.93	34.48	22.2	19.71
CHGA	1.17	0.72	8.81	0.0	0.07	0.72	0.0	0.22	0.05
CHGB	0.0	0.03	0.22	0.0	15.14	2.71	0.0	0.18	0.0
CHI3L1	1.5	2.77	2.56	3.19	2.99	0.77	1.86	0.76	1.08
CHI3L2	3.61	5.97	0.72	0.0	6.27	0.95	4.87	0.22	0.04
CHIA	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHIAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHIAP2	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0
CHIAP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHIC1	5.98	3.8	1.08	1.46	16.39	5.37	3.45	3.12	1.47
CHIC2	27.29	20.67	24.35	14.07	24.14	33.48	18.54	8.1	8.68
CHID1	35.9	84.42	32.31	38.99	25.44	28.95	88.98	29.34	23.32
CHIT1	0.67	0.03	0.1	0.0	0.03	0.0	0.0	0.0	0.0
CHKA	23.49	14.35	60.14	22.75	23.98	39.09	19.28	14.35	36.63
CHKB	33.63	14.16	16.72	106.43	30.72	79.36	27.13	7.72	15.44
CHKB-AS1	0.22	0.7	0.08	0.75	0.51	0.76	0.0	0.05	0.0
CHKB-CPT1B	0.75	10.6	3.48	4.41	2.1	5.19	7.2	0.0	5.59
CHL1	0.01	43.08	0.15	0.0	0.03	0.0	3.45	0.0	0.3
CHL1-AS1	0.0	0.33	0.0	0.0	0.04	0.0	0.0	0.0	0.0
CHL1-AS2	0.0	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHM	9.55	14.27	9.42	4.52	22.31	10.86	12.88	4.41	4.27
CHML	3.08	2.08	10.8	2.0	3.82	3.88	3.92	19.13	16.31
CHMP1A	70.32	70.28	56.45	39.91	28.13	76.09	35.18	24.51	40.83
CHMP1AP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP1B	34.49	38.36	15.62	18.73	17.59	56.81	27.6	12.81	6.63
CHMP1B2P	0.1	1.53	0.04	0.0	0.0	0.0	1.32	0.66	0.0
CHMP2A	46.21	41.33	64.37	169.68	79.44	144.32	89.47	30.64	40.75
CHMP2B	24.03	12.92	16.11	4.68	18.54	29.24	15.7	34.12	5.81
CHMP3	58.65	87.51	64.47	141.61	137.92	93.62	108.89	23.27	35.99
CHMP4A	45.27	47.46	60.88	82.41	61.02	45.37	66.79	71.72	52.19
CHMP4B	59.77	62.74	166.72	105.36	170.68	90.48	60.73	25.24	24.54
CHMP4BP1	5.01	1.14	1.66	2.07	0.82	4.55	0.86	0.35	1.02
CHMP4C	0.03	0.0	0.06	0.06	0.75	0.69	13.66	3.88	15.84
CHMP5	77.56	28.54	53.12	57.62	39.14	37.27	60.06	31.58	27.85
CHMP6	23.04	18.89	14.28	25.02	13.21	23.93	10.73	7.5	9.31
CHMP7	29.27	15.65	33.69	29.25	28.57	45.29	38.41	23.39	10.47
CHN1	71.43	36.59	31.36	81.47	60.89	45.33	49.85	15.35	21.65
CHN2	2.99	10.42	68.78	22.87	11.66	0.69	52.5	33.31	51.44
CHODL	0.0	4.54	0.09	0.48	0.12	0.06	0.72	0.26	0.0
CHODL-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHORDC1	27.9	21.54	69.75	30.76	41.71	21.67	55.53	65.74	123.41
CHORDC2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHP1	27.7	13.74	25.92	30.55	24.69	28.55	46.85	25.18	85.21
CHP2	0.0	0.0	0.02	0.0	0.22	1.91	0.0	0.0	0.0
CHPF	65.44	86.96	32.9	222.77	29.95	80.58	39.09	2.72	6.25
CHPF2	70.83	43.8	31.78	51.59	51.35	51.22	23.3	11.62	16.43
